Era,Lyrics
2000s, you change your mind like a girl changes clothes yeah you pms like a bitch i would knowand you over think always speak crypticallyi should know that youre no good for mecause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre down youre wrong when its right its black and its white we fight we break up we kiss we make up you you dont really want to stay no you but you dont really want to goo youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downwe used to be just like twins so in sync the same energy nows a dead battery used to laugh bout nothing now youre plain boringi should know that youre not gonna changecause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre down youre wrong when its right its black and its white we fight we break up we kiss we make up you you dont really want to stay no you but you dont really want to goo youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre downsomeone call the doctor got a case of a love bipolar stuck on a roller coaster cant get off this rideyou change your mind like a girl changes clothescause youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre down youre wrong when its right its black and its white we fight we break up we kiss we make up you you dont really want to say no you but you dont really want to goo youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre down youre wrong when its right its black and its white we fight we break up we kiss we make up you you dont really want to stay no you but you dont really want to goo youre hot then youre cold youre yes then youre no youre in then youre out youre up then youre down down 
2000s, look at this photograph every time i do it makes me laugh how did our eyes get so red and what the hell is on joeys headthis is where i grew up i think the present owner fixed it up i never knew we ever went without the second floor is hard for sneakin outand this is where i went to school most of the time i had better things to do criminal record says i broke in twice i must of done it half a dozen timesi wonder if its too late should i go back and try to graduate lots better now than it was back then if i was them i wouldnt let me in oh whoa whoa whoa god ievery memory of lookin out the back door i have the photo album spread out on my bedroom floor its hard to say it time to say it good bye good bye every memory of walkin out the front door i found the photo of the friend that i was lookin for its hard to say it time to say it good bye good bye good byeremember the old arcade blew every dollar that we ever made the cops hated us hangin out they said somebody went and burnt it downwe use to listen to the radio and sing along with every song we know we said someday wed find out how it feels to sing to more than just a steering wheelkims the first girl i kissed i was so nervous that i nearly missed shes had a couple of kids since then i havent seen her since god knows when oh whoa whoa whoa god ievery memory of lookin out the back door i have the photo album spread out on my bedroom floor its hard to say it time to say it good bye good bye every memory of walkin out the front door i found the photo of the friend that i was lookin for its hard to say it time to say it good bye good bye good byei miss that town i miss their faces you cant erase you cant replace it i miss it now i cant believe it so hard to stay too hard to leave itif i could relive those days i know the one thing that would never changeevery memory of lookin out the back door i have the photo album spread out on my bedroom floor its hard to say it time to say it good bye good bye every memory of walkin out the front door i found the photo of the friend that i was lookin for its hard to say it time to say it good bye good bye good byelook at this photograph every time i do it makes me laugh every time i do it makes me 
2000s, you spin my head right round right round when you go down when you go down down you spin my head right round right round when you go down when you go down downhey walk out that house with my swagger hop in there with dough i got places to go people to see time is precious i looked at my cotty are ya out of controljust like my mind where im goin no women no shawties no nothin but clothes no stoppin now my pirellis on roll i like my jewelry thats always on whoai know the storm is comin my pockets keep tellin me its gonna shower call up my homies its on then pop in the next cause this mixll be ourswe keep a fadeaway shot cause we ballin its platinum patron that be ours lil mama i owe you just like the flowers girl you the drink with all that goodie powersyou spin my head right round right round when you go down when you go down down you spin my head right round right round when you go down when you go down downfrom the top of the pole i watch her go down she got me throwin my money around aint nothin more beautiful to be found its goin down downfrom the top of the pole i watch her go down she got me throwin my money around aint nothin more beautiful to be found its goin down downhey shawty must know im the man my money love her like her number one fan dont open my mouth let her talk to my fans my benjamin franklinsa couple of grands i got rubber bands my paper planes makin her dance get dirty all night thats part of my plan we buildin castles thats made out of sandshes amazin fire blazin hotter than cajun girl wont you move a lil closer time to get paid its maximum wage that body belong on a posterim in a daze that bottom is wavin at me like damn it i know you you wanna shoot like a gun out of holster tell me whatever and ill be your gopheryou spin my head right round right round when you go down when you go down down you spin my head right round right round when you go down when you go down downfrom the top of the pole i watch her go down she got me throwin my money around aint nothin more beautiful to be found its goin down downfrom the top of the pole i watch her go down she got me throwin my money around aint nothin more beautiful to be found its goin down downyeah im spendin my money im out of control somebody help me she takin my bank roll but im king of the club and im wearin the crown poppin these bottles touchin these models watchin they asses go down downyou spin my head right round right round when you go down when you go down down you spin my head right round right round when you go down when you go down downyou spin my head right round right round when you go down when you go down down you spin my head right round right round when you go down when you go down down 
2000s, come my lady come come my lady youre my butterfly sugar baby come my lady come come my lady youre my butterfly sugar babysuch a sexy sexy pretty little thing fierce nipple pierce you got me sprung with your tongue ring and i aint gonna lie cause your loving gets me high so to keep you by my side theres nothing that i wont try butterflies in her eyes and looks to kill time is passing im asking could this be real cause i cant sleep i cant hold still the only thing i really know is she got sex appeal i can feel too much is never enough youre always there to lift me up when these times get rough i was lost now im found ever since youve been around youre the women that i want so yo im putting it downcome come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazy come come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazyi dont deserve you unless its some kind of hidden message to show me life is precious then i guess its true but to tell truth i really never knew til i met you see i was lost and confused twisted and used up knew a better life existed but thought that i missed itmy lifestyles wild i was living like a wild child trapped on a short leash paroled the police files so yo what s happening now i see the sun breaking down into dark clouds and a vision of you standing out in a crowdcome come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazy come come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazyhey sugar momma come and dance with me the smartest thing you ever did was take a chance with me whatever tickles your fancy girl its you like sid and nancy so sexy almost evil talkin about butterflies in my head i used to think happy endings were only in the books i read but you made me feel alive when i was almost deadyou filled that empty space with the love i used to chase and as far as i can see it dont get better than this so butterfly here is a song and its sealed with a kiss and a thank you misscome and dance with me come and dance with me come and dance with me so come and dance with mecome come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazy come come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazy come come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazy come come my lady youre my butterfly sugar baby come my lady youre my pretty baby ill make your legs shake you make me go crazycome and dance with me 
pre-1980,aint nothing like the real thing baby aint nothing like the real thing aint nothing like the real thing baby aint nothing like the real thing tammi terrell i got your picture hangin on the wall it cant see or come to me when i call your name i realize its just a picture in a frame marvin gaye i read your letters when youre not near but they dont move me and they dont groove me like when i hear your sweet voice whispering in my ear both aint nothing like the real thing baby aint nothing like the real thing tammi i play the game a fantasy i pretend but im not in reality i need the shelter of your arms to comfort me both no other sound is quite the same as your name no touch can do half as much to make me feel better so lets stay together marvin i got some memories to look back on and though they help me when you phone im well aware nothing can take the place of being there both so glad we got the real thing baby so glad we got the real thing aint nothing like the real thing baby aint nothing like the real thing aint nothing like the real thing baby aint nothing like the real thing
1990s, yo come on move this shake that body shake that body shake that body shake that bodypeople dont you know dont you know its about time cant you hear the jam is pumpin while you taste the piece of mine many different flavors and the spice is strong get into the hot stuff let me pour a little somebaby let me show you how to do this youve gotta move this youre doing fine theres nothing to it you gotta groove it come on and move this shake that body forpeople dont you know dont you know its about time cant you hear the jam is pumpin while you taste the piece of mine many different flavors and the spice is strong get into the hot stuff let me pour a little somebaby let me show you how to do this youve gotta move this youre doing fine theres nothing to it you gotta groove it come on and move this shake that body for me shake that body for me shake that bodypeople dont you know dont you know its about time cant you hear the jam is pumpin while you taste the piece of mine can you feel the mellow crawlin fast drum on baby rhythms blast pump it pump it pump pump it up nothin can make this one stopyouve gotta move this youve gotta move this oh yeah you gotta move this and groove this and move this on shake that body forbaby let me show you how to do this youve gotta move this you gotta move that you gotta move move move this and groove it shake that body for meshake that body shake that body shake that body for me shake that body shake that body shake that body shake that body for me shake it shake ityouve gotta move this come on and move this move this move this move this youve gotta move this come on and move this move it move itbaby let me show you how to do this youve gotta move this youre doing fine theres nothing to it you gotta groove it come on and move it shake that body forpeople dont you know dont you know its about time cant you hear the jam is pumpin while you taste the piece of mine can you feel the mellow crawlin fast drum on baby rhythms blast pump it pump it pump pump it up nothin can make this one stoptoes be tappin fingers snappin hands wrapped round ma rabbit talkin about cold lappin shut up and do the walk use what you got show me youre on the floor so let me see dont say nothin unless i saw and remember i like it rawyouve gotta move this youve gotta move this oh yeah yeah yeah youve gotta move this uh uh uh uh shake that body for mebaby let me show you how to do this youve gotta move this youre doing fine theres nothing to it you gotta groove it come on and move this shake that body forbaby let me show you how to do this youve gotta move this you gotta move that really aint nothin to it you gotta move it move move it shake that body for meshake that body for me shake that body for me shake that body shake that body for me shake that body shake that body for me 
1990s, as i was walkin by saw you standin there with a smile lookin shy you caught my eye thought youd want to hang for a while well id like to be with you and you know its friday too i hope you can find the time this weekend to relax and unwindmy minds tired ive worked so hard all week cashed my check im ready to go i promise you ill show you such a good timecome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapade lets goescapade well have a good time escapade leave your worries behind escapade well you could be mine escapade an escapadeso dont hold back just have a good time yeah yeah well make the rules up as we go along and break them all if were not havin funcome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapadecome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapade lets goescapade well have a good time escapade leave your worries behind escapade well you could be mine escapade an escapademy minds tired ive worked worked so hard all week i just got paid weve got it made ready to go i promise you ill show you such a good timecome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapadecome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapade lets gocome on baby lets get away lets save our troubles for another day come go with me weve got it made let me take you on an escapade 
pre-1980, aint it good aint it right that you are with me here tonight the music playing our bodies swayin in time in time in time in timetouching you so warm and tender lord i feel such a sweet surrender beautiful is the dream that makes you minemmm rock me gently rock me slowly take it easy dont you know that i have never been loved like this beforebaby baby rock me gently rock me slowly take it easy dont you know that i have never been loved like this beforeoh my darling oh my baby you got the moves that drive me crazy and on your face i see a trace of love of love of love of love come hold me close dont let me go i need you honey i love you so you were made for me by the stars aboveoh rock me gently rock me slowly take it easy dont you know that i have never been loved like this beforeand baby baby rock me gently rock me slowly take it easy dont you know that i have never been loved like this beforerock me gently rock me slowly take it easy dont you know that i have never been loved like this beforeaint it good aint it right that you are with me here tonightrock me gently rock me slowly take it easy dont you know that i have never been loved like this beforebaby baby rock me gently rock me slowly take it easy dont you know that i have never been loved like this before 
pre-1980, give a little bit give a little bit of your love to me give a little bit ill give a little bit of my love to you theres so much that we need to share so send a smile and show that you careill give a little bit ill give a little bit of my life for you so give a little bit give a little bit of your time to me see the man with the lonely eyes take his hand youll be so surprisedgive a little bit give a little bit of your love to me ill give a little bit of my life for you nows the time that we need to share so find yourself were on our way back homegoing home dont you need to feel at home oh yeah we gotta sing 
2000s, loving can hurt loving can hurt sometimes but its the only thing that i know when it gets hard you know it can get hard sometimes it is the only thing that makes us feel alivewe keep this love in a photograph we made these memories for ourselves where our eyes are never closing hearts are never broken and times forever frozen stillso you can keep me inside the pocket of your ripped jeans holding me closer til our eyes meet you wont ever be alone wait for me to come homeloving can heal loving can mend your soul and its the only thing that i know know i swear it will get easier remember that with every piece of you hm and its the only thing we take with us when we diehm we keep this love in this photograph we made these memories for ourselves where our eyes are never closing hearts were never broken and times forever frozen stillso you can keep me inside the pocket of your ripped jeans holding me closer til our eyes meet you wont ever be aloneand if you hurt me thats okay baby only words bleed inside these pages you just hold me and i wont ever let you go wait for me to come home wait for me to come home wait for me to come home wait for me to come homeyou can fit me inside the necklace you got when you were sixteen next to your heartbeat where i should be keep it deep within your souland if you hurt me well thats okay baby only words bleed inside these pages you just hold me and i wont ever let you gowhen im away i will remember how you kissed me under the lamppost back on sixth street hearing you whisper through the phone wait for me to come home 
1990s, without you baby i feel worthless im livin on the edgeits been an hour since youve been gone and thats too long so come back homei cant live without you so ill cry for you do anything that i can to feel that touch from your hand sorry that i want you lady what do i doyou know youre everything i do ooh yeah do what you want me to i would do anything get on my knees for youooh baby what else is there to do i dont know i dont know but ill crylady i will cry for you tonight tonight yeah lady i will cry for you tonight help me out help me out yeah tonightyou spoil me girl like a child when youre not here i cant even smile i cant think without you my mind is always with youits amazing what you do to keep me falling in love with you girl you all that i know where else can i goi say you know youre everything i do ooh wee do what you want me to anything you need from me baby get on my knees for youohh ooh ohh what else is there to do i dont know i dont know but ill crylady i will cry for you tonight tonight lady i will cry for you tonight help me out baby help me out baby yes tonight i dont know what else to say i dont know what else to say kci help me sing itlady i will cry for you tonight jojo im right here yes i am i will cry for you lady tonight sometimes my pillow gets so wet with tears i dont have no one to call my own i want you back babylady i will cry for you tonight tonight ooh yeahbaby im beggin baby im beggin beggin baby baby im beggin baby im beggin beggin baby baby im beggin baby im beggin beggin baby  
1990s, why dont you sit right back and i i may tell you a tale a tale of three little pigs and a big bad wolfwell the first little piggy well he was kinda hip he spent most of his days just a dreaming of the city and then one day he bought a guitar he moved to hollywood to become a star but living on the farm he knew nothing of the city built his house out of straw what a pity and then one day jamming on some chords along came the wolf knocking on his doorlittle pig little pig let me in not by the hair of my chinny chin chin little pig little pig let me in not by the hair of my chinny chin chin well im huffing im puffing ill blow your house in huffing puffin blow your house in huffing puffin blow your house in huffing and a puffin and ill blow your house inwell the second little piggy well he was kinda stoked he spent most of his time just a ganga smoking huffing and a puffin down on venice beach getting paid money for religious speech he built his shelter from what he garbage picked mostly made up of old cans and sticks then one day he was cranking out bob marley and along came the wolf on his big bad harleylittle pig little pig let me in not by the hair of my chinny chin chin little pig little pig let me in not by the hair of my chinny chin chin well im huffing im puffing ill blow your house in huffing puffin blow your house in huffing puffin blow your house in huffing and a puffin and ill blow your house inwell the third little piggy the grade a student his daddy was a rock star named pig nugent earned his masters degree from harvard college built his house from his architect knowledge a trilevel mansion hollywood hills daddys rock stardom paid for the bills and then one day came the old house smasher the big bad wolf the little piggy slasherlittle pig little pig let me in not by the hair of my chinny chin chin little pig little pig let me in not by the hair of my chinny chin chin well im huffing im puffing ill blow your house in huffing puffin blow your house in huffing puffin blow your house in huffing and a puffin and ill blow your house inwell the big bad wolf well he huffed and he puffed all that he could and low and behold the little piggys house stood its made out of concrete the little piggy shouted the wolf just frowned as he pouted so they called nineeleven like any piggy would the sent out rambo just as fast as they couldyo wolfface im your worst nightmare your ass is minewell the wolf fell dead as you can plainly see thats to end the story for you and me if you still give a listen you just may here the big wolf or little piggy saylittle pig little pig let me in not by the hair of my chinny chin chin little pig little pig let me in not by the hair of my chinny chin chin well im huffing im puffing ill blow your house in huffing puffin blow your house in huffing puffin blow your house in huffing puffin blow your house in huffing and a puffin and ill blow your house in huffing and a puffin and ill blow your house in huffing and a puffin and ill blow your house in huffing and a puffin and ill blow your house inand the moral of the story is a band with no talent can easily amuse idiots with a stupid puppet show 
1980s, i know just how to whisper and i know just how to cry i know just where to find the answers and i know just how to lie i know just how to fake it and i know just how to scheme i know just when to face the truth and then i know just when to dream and i know just where to touch you and i know just what to prove i know when to pull you closer and i know when to let you loose and i know the night is fading and i know the times gonna fly and im never gonna tell you everything ive gotta tell you but i know ive gotta give it a try and i know the roads to riches and i know the ways to fame i know all the rules and then i know how to break em and i always know the name of the game but i dont know how to leave you and ill never let you fall and i dont know how you do itmaking love out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all making love out of nothing at alleverytime i see you all the rays of the sun are streaming through the waves in your hair and every star in the sky is taking aim at your eyes like a spotlight the beating of my heart is a drum and its lost and its looking for a rhythm like you you can take the darkness at the pit of the night and turn into a beacon burning endlessly bright ive gotta follow it cause everything i know well its nothing til i give it to you i can make the runner stumble i can make the final block i can make every tackle at the sound of the whistle i can make all the stadiums rock i can make tonight forever or i can make it disappear by the dawn i can make you every promise that has ever been made and i can make all your demons be gone but im never gonna make it without you do you really want to see me crawl and im never gonna make it like you domaking love out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all out of nothing at all 
1980s, ebony and ivory live together in perfect harmony side by side on my piano keyboard oh lord why dont wewe all know that people are the same where ever we go there is good and bad in everyone we learn to live and we learn to give each other what we need to survive together aliveebony and ivory live together in perfect harmony side by side on my piano keyboard oh lord why dont we ebony ivory living in perfect harmony ebony ivory oohwe all know that people are the same where ever we go there is good and bad in everyone we learn to live and we learn to give each other what we need to survive together alive 
2000s, ooh say what say what say what ooh girl you know whats up ooh say what say what say what ooh girl you know whats upme and my people be rolling trailing on you and your homies the very first day of summer all chromed out in a hummer babe hit the park and parle hope that your off cause youre awake cause you and your girls want to ride play all day puff on the lye1 ooh say what say what say what you know that i like it baby ooh girl you know whats up and you know what i need ooh say what say what say what you know that im bout it baby ooh girl you know whats up ooh2  im digging you im feeling you and you know whats up said im big on you and im wanting you so tell me whats upwe out five and im zoning  running around two in the morning looking fly with that sun dress on i think i feel a bone coming on girl you got me wide open fiending all day and im hoping so baby dont front backseat jeep you know what i wantrepeat 1repeat 2oh yeah whoa digging you you got me big on yourepeat 1repeat 2 till end 
1980s, now listen not a dime i cant pay my rent i can barely make it through the week saturday night id like to make my girl but right now i cant make ends meetim always workin slavin every day gotta get a break from that same old same old i need a chance just to get away if you could hear me think this is what id saydont need nothin but a good time how can i resist aint lookin for nothin but a good time and it dont get better than thisthey say i spend my money on women and wine but i couldnt tell you where i spent last night im really sorry about the shape im in i just like my fun every now and thenim always workin slavin every day gotta get a break from that same old same old i need a chance just to get away if you could hear me think this is what id saydont need nothin but a good time how can i resist aint lookin for nothin but a good time and it dont get better than thisyou see i raise a toast to all of us who are breakin our backs every day if wantin the good life is such a crime lord then put me away heres to yadont need nothin but a good time how can i resist aint lookin for nothin but a good time and it dont get better than thisdont need nothin but a good time how can i resist aint lookin for nothin but a good time and it dont get better than this it dont get better 
1980s,m new york london paris munich pop muzik robin scott pop pop pop muzik pop pop pop muzik radio video boogie with a suitcase youre living in a disco forget about the rat race lets do the milkshake youre selling like a hot cake try some buy some fee fy foe fum talk about pop muzik talk about pop muzik shoobi doobi do whap i wanna dedicate it bop bop shoo whap everybody made it shoobi doobi do whap infiltrate it bop bop shoo whap activate it new york london paris munich everybody talk about pop muzik talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik sing it in the subway shuffle with a shoe shine mix me a molotov im on the hit line if you wanna be a gun slinger dont be a rock singer eenie meenie miny moe whichaway you wanna go talk about pop muzik talk about pop muzik shoobi doobi do whap right in between me bop bop shoo whap me me me me shoobi doobi do whap right in betweenie bop bop shoo whap hit it now you know what to say talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik all around the world where ever you are dance in the street anything you like do it in your car in the middle of the night la la la la la la la la la la la la la la la la dance in the super mart dig it in the fast lane listen to the countdown theyre playing our song again i cant get jumping jack i wanna hold get back moonlight muzak knick knack paddywack talk about pop muzik talk about pop muzik shoobi doobi do whap its all around you bop bop shoo whap they wanna surround you shoobi doobi do whap its all around you bop bop shoo whap hit it new yorklondonparismunich everybody talk about m pop muzik talk about pop muzik talk about pop muzik pop pop pop muzik pop pop pop muzik nowlisten do you read me loud and clear get it down wrong way round upside down left right left right
2000s, boom boom boom clapyoure picture perfect blue sunbathing on the moon stars shining as your bones illuminate first kiss just like a drug under your influence you take me over youre the magic in my veins this must be loveboom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now boom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me nowno silver or no gold could dress me up so good youre the glitter in the darkness of my world just tell me what to do ill fall right into you going under cast a spell just say the word i feel your loveboom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now boom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me nowyou are the light and i will follow you let me lose my shadow you are the sun the glowing halo and you keep burning me up with all of your loveboom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now boom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now boom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now boom clap the sound of my heart the beat goes on and on and on and on and boom clap you make me feel good come on to me come on to me now 
pre-1980, baby although i chose this lonely life it seems its strangling me now all the wild men big cigars gigantic car theyre all laughing at the lieoh ive been used ohh ive been a fool oh what a fool i broke all the rules oh yeah but i must let the show go onbaby theres an enormous crowd of people theyre all after my blood i wish maybe theyd tear down the walls of this theater let me out let me outoh im so blind oh im blind i wasted time wasted wasted wasted time walking on the wire high wire but i must let the show go onoh im so blind oh im blind i wasted time wasted wasted all too much time walking on the wire high wire but i must let the show go onbaby i wish youd help me escape help me get away leave me outside my address far away from this masqueradecause ive been blind oh so blind i wasted time wasted wasted all too much time walking on the wire high wire but i must let the show go i must let the show go i must let the show go on 
2000s, when dreaming im guided to another world time and time again at sunrise i fight to stay asleep cause i dont want to leave the comfort of this place cause theres a hunger a longing to escape from the life i live when im awake so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsalthough i would like our world to change it helps me to appreciate those nights and those dreams but my friend id sacrifice all those nights if i could make the earth and my dreams the same the only difference is to let love replace all our hate so lets go there lets make our escape come on lets go there lets ask can we staycan you take me higher to the place where blind men see can you take me higher to the place with golden streetsso lets go there so lets go there come on lets go there lets ask can we stayup high i feel like im alive for the very first time set up high im strong enough to take these dreams and make them mineset up high im strong enough to take these dreams and make them minecan you take me higher to the place where blind men see can you take me higher to the place with golden streetscan you take me higher to the place where blind men see can you take me higher to the place with golden streets 
pre-1980, every day when the work is behind you and the shop and the store put the lock on the door just get away where your worries wont find you if you like well ill tell you moredont let the day get the better of you when the evening comes theres so much to do you better put on your best and wear a smile just come along with me awhile cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goat the door theres a man who will greet you then you go downstairs to some tables and chairs soon im sure youll be tappin your feet because the beat is the greatest thereall around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can gowell all around there are girls and boys its a swingin place a cellar full of noise its got an atmosphere of its own somehow you gotta come along right now cuz i tell youi know a place where the music is fine and the lights are always low i know a place where we can goi know a place where we can go i know a place where the lights are low youre gonna love this place i know i know a place where we can go i know a place where the lights are low 
1980s, well the times are gettin hard for you little girl im ahummin and astrummin all over gods world you cant remember when you got your last meal and you dont know just how a woman feelsyou didnt know what rock n roll was until you met my drummer on a gray tour bus i got there in the nick of time before he got his hands across your state line yeahnow its the middle of the night on the open road the heater dont work and its oh so cold youre lookin tired youre lookin kinda beat the rhythm of the street sure knocks you off your feetyou didnt know how rock n roll looked until you caught your sister with the guys from the group halfway home in the parking lot by the look in her eye she was giving what she got saidmy my my im once bitten twice shy baby my my my im once bitten twice shy baby my my my im once bitten twice shy babywoman youre a mess gonna die in your sleep theres blood on my amp and my les pauls beat cant keep you home youre messin around my best friend told me youre the best lick in townyou didnt know that rock n roll burned so you bought a candle and you lived and you learned you got the rhythm you got the speed mamas little baby likes it short and sweet i saidi said my my my im once bitten twice shy baby my my my im once bitten twice shy baby my my my im once bitten twice shy babyi didnt know you had a rock n roll record until i saw your picture on another guys jacket you told me i was the only one but look at you now its dark and youre gonemy my my im once bitten twice shy baby my my my im once bitten twice shy baby my my my im once bitten twice shy babymy my my im once bitten twice shy im so shy 
1980s, so long ive been looking too hard ive been waiting too long sometimes i dont know what i will find i only know its a matter of time when you love someone when you love someone it feels so right so warm and true i need to know if you feel it too maybe im wrong wont you tell me if im coming on too strong this heart of mine has been hurt before this time i wanna be sure ive been waiting for a girl like you to come into my life ive been waiting for a girl like you and a love that will survive ive been waiting for someone new to make me feel alive yeah waiting for a girl like you to come into my life youre so good when we make love its understood its more than a touch or a word can say only in dreams could it be this way when you love someone yeah really love someone now i know its right from the moment i wake up till deep in the night theres nowhere on earth that id rather be than holding you tenderly ive been waiting for a girl like you to come into my life ive been waiting for a girl like you and a love that will survive ive been waiting for someone new to make me feel alive yeah waiting for a girl like you to come into my life ive been waiting waiting for you ooh ive been waiting ive been waiting ive been waiting for a girl like you ive been waiting wont you come into my life 
2000s, i dont wanna be the girl who laughs the loudest or the girl who never wants to be alone i dont wanna be there calling 4 oclock in the morning cause im the only one you know in the world that wont be homeah the sun is blinding i stayed up again oh i am finding that thats not the way i want my story to endim safe up high nothing can touch me but why do i feel this partys over no pain inside youre my protection but how do i feel this good soberi dont wanna be the girl that has to fill the silence the quiet scares me cause it screams the truth please dont tell me that we had that conversation cause i wont remember save your breath cause whats the useah the night is calling and it whispers to me softly come and play but i i am falling and if i let myself go im the only one to blameim safe up high nothing can touch me but why do i feel this partys over no pain inside youre like perfection but how do i feel this good sobercoming down coming down coming down spinning round spinning round spinning round im looking for myself sober coming down coming down coming down spinning round spinning round spinning round looking for myself soberwhen its good then its good its so good till it goes bad till youre trying to find the you that you once had i have heard myself cry never again broken down in agony just tryin to find a friendoh ohim safe up high nothing can touch me but why do i feel this partys over no pain inside youre like perfection but how do i feel this good soberim safe up high nothing can touch me but why do i feel this partys over no pain inside youre like perfection but how do i feel this good sober 
2000s, keep rocking and keep knocking whether you louboutin it up or reebokin you see the hate that theyre serving on a platter so what we goin have dessert or disasteri never thought id be in love like this when i look at you my mind goes on a trip then you came in and knocked me on my face feels like in im in a race but i already won first placei never thought id fall for you as hard as i did as hard as i did yeah you got me thinking bout our life our house and kids yeah every morning i look at you and smile cause boy you came around and you knocked me down knocked me downsometimes love comes around and it knocks you down just get back up when it knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you downi never thought id hear myself say ooh yall go ahead i think im gonna kick it wit my girl today kick it wit my girl today i used to be commander and chief of my pimp ship flying high flying high til i met this pretty little missile that shot me out the sky oh shot me out the skyhey now im crashing dont know how it happened but i know it feels so damn good said if i could back and make it happen faster dont you know i would baby if i could miss independent oh to the fullest the load never too much she helping me pull it she shot the bullet that ended that life i swear to you the pimp in me just died tonight girl sometimes lovesometimes love comes around and it knocks you down just get back up when it knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you downtell me now can you make it past your caspers so we can finally fly off into nasa you was always the cheerleader of my dreams that seem to only date the head of football teamsand i was the class clown that always kept you laughing we were never meant to be baby we just happen so please dont mess up the trick hey young world im the new slick rick they say i move too quick but we cant let the moment pass uslet the hourglass pass right into ashes let the wind blow the ash right before my glasses so i wrote this love letter right before my classes how could a goddess ask someone thats only averagefor advice omg you listen to that bitch whoa its me baby this is tragic cause we had it we was magici was flying now im crashing this is bad real bad michael jackson now im mad real mad joe jackson you should leave your boyfriend now im a ask himsay you gotta put the good with the bad happy and the sad so will u bring a better future than i had in the past oh cause i dont wanna make the same mistakes i did i dont wanna fall back on my face again whoa whoa ill admit it i was scared to answer loves call whoa whoa and if it hits better make it worth the fallwhen it comes aroundsometimes love comes around and it knocks you down just get back up when it knocks you down sometimes love comes around and it knocks you down just get back up when it knocks you downwont see it coming when it happens hey but when it happens youre gonna feel it let me tell you now you see when love knocks you downwont see it coming when it happens but when it happens youre gonna feel it let me tell you now you see when love knocks you down yeah 
