sentence,true_label,pred_label
Keep an eye on Tom.,eng,spa
Los niños a menudo intentan imitar a sus mayores.,spa,spa
Spanish used to be the Philippines' official language.,eng,spa
Layla overheard Sami talking on the phone with his mistress.,eng,spa
"El código moral del fin del milenio no condena la injusticia, sino el fracaso.",spa,spa
Three people were found murdered in Dan's home.,eng,spa
No se puede vivir solo del aire.,spa,spa
Estaba aburrido así que di vueltas por la ciudad.,spa,spa
La oración que está leyendo no existe.,spa,spa
No hay nada que hacer.,spa,eng
The instructions are on the package.,eng,spa
Tom was bewildered.,eng,spa
Tom asked me to do his homework for him.,eng,spa
Tom dyed his hair gray so he'd look older.,eng,eng
Hablaré sobre ese incidente.,spa,spa
Each horse is different.,eng,eng
Tenemos algo.,spa,spa
Its bark is worse than its bite.,eng,spa
It was an amazing movie.,eng,spa
The day is breaking soon.,eng,spa
Hoy Tom está muy ocupado.,spa,spa
Tom is a wealthy Boston businessman.,eng,spa
Yo hago básicamente lo mismo que Tom.,spa,spa
Tom quiere que yo planee la boda.,spa,spa
Tom no tiene que escuchar lo que Mary diga.,spa,spa
Tom was a soldier's soldier.,eng,eng
En la tierra como en el cielo.,spa,spa
Alessia no puede hablar inglés.,spa,spa
The airfield on the island is now covered with weeds.,eng,spa
I clean up my room every Sunday.,eng,spa
We'll be leaving shortly.,eng,spa
No pueden verme contigo.,spa,spa
Mary knows you didn't eat the cake she baked for you.,eng,spa
Should I ask Tom for help?,eng,spa
Tom and I should be the ones who do that.,eng,eng
Don't tell him you're lost.,eng,eng
Tom miente peor que Mary.,spa,spa
El gato ha empezado a actuar extraño.,spa,spa
I have no clue.,eng,spa
He suppressed his anger.,eng,eng
¿Por qué vino a casa temprano?,spa,spa
I'm sometimes a bit absent-minded.,eng,spa
Tengo que mandar a reparar la tele.,spa,spa
"Tom and Mary didn't want to do that, but they said they had to.",eng,spa
Mi padre siempre ha comido en este restaurante.,spa,spa
En todas las cosas de la naturaleza hay algo maravilloso.,spa,spa
Tom estaba como cucaracha en baile de gallina.,spa,spa
Ya no recuerdo las palabras exactas.,spa,spa
No podemos hacerlo.,spa,spa
Ella dice que vendrá.,spa,eng
No me prestes atención.,spa,spa
Sami showed his wife much affection.,eng,spa
Why aren't you dancing?,eng,spa
Tom apagó las luces.,spa,spa
Who told Tom to hug Mary?,eng,spa
Tom es feliz ahora.,spa,spa
You are responsible.,eng,spa
Tom said that Mary ought to do that.,eng,eng
Are you healthy?,eng,spa
Tom's rowboat capsized.,eng,spa
A menudo juego al tenis con ella.,spa,spa
"Las bacterias solo son diminutas células, inofensivas.",spa,spa
"Mary is resourceful, isn't she?",eng,spa
You should've been a little more patient.,eng,eng
Tom cogió el autobús para ir a la escuela.,spa,spa
"You don't think that's going to happen, do you?",eng,spa
But Love wanted to make a match of his own devising.,eng,spa
I can speak Irish with reasonable fluency.,eng,spa
I don't think that you should do that today.,eng,spa
"The older I become, the less I understand.",eng,spa
Tom and his son worked together.,eng,eng
Must I take this lesson?,eng,spa
Layla attached to Sami strongly.,eng,spa
Apple tried hard to design beautiful hardware.,eng,spa
I've been writing letters all morning. I've written ten and still haven't finished.,eng,spa
Compramos mobiliario nuevo.,spa,spa
Tom me dijo que ya no quería a Mary.,spa,spa
How happy are you?,eng,spa
Isn't it a beautiful day?,eng,spa
Telegraph us when you get to Boston.,eng,spa
Tom moved here from Australia three years ago.,eng,spa
Estoy cansado de esperar.,spa,eng
They won't let anyone into their houses.,eng,spa
La cogió del pelo.,spa,spa
Tom can't speak French well.,eng,spa
Yo ya te dije todo lo que sabía.,spa,spa
What are your reasons?,eng,spa
Tom ate a crocodile.,eng,spa
¡Qué lástima!,spa,spa
¿Dónde estás ahora?,spa,spa
Are Tom and Mary finished eating?,eng,spa
I didn't know Tom wouldn't be there.,eng,spa
Is Tom feeling better?,eng,eng
I can hear your voice.,eng,spa
Hoy en día no hay ninjas o samuráis en Japón.,spa,spa
Tom and Mary said they'd do that if I did.,eng,spa
"Por favor, no discuta.",spa,spa
Nos comemos a la gallina que nos pondría huevos de oro.,spa,spa
Live not for time but for eternity.,eng,spa
Anote esto.,spa,spa
I'm really glad to have met you and that we became friends.,eng,spa
Tengo que ver a Tom.,spa,spa
Esa montaña está cubierta de nieve.,spa,spa
I think Tom would be annoyed if you did that.,eng,eng
Consideramos como un derecho legítimo de los ciudadanos tener bibliotecas públicas.,spa,spa
"Estaré feliz cuando llegue al hotel, porque solo dormí dos horas la noche anterior.",spa,eng
Harry couldn't keep up with the class.,eng,spa
I can explain this in detail if you want me to.,eng,spa
"Las brujas no lloran, susurró en voz baja.",spa,spa
Tom and Mary both have new bicycles.,eng,spa
Tom was too afraid to go into the cave.,eng,spa
I'm not used to doing this.,eng,spa
Este diccionario me fue muy útil.,spa,spa
Tom does look really tired.,eng,spa
¿Cómo supiste que estaba allí?,spa,spa
Stay tuned. Our live stream will return shortly.,eng,spa
He has to get up immediately.,eng,spa
Él no pudo participar en el partido debido a un mal resfriado.,spa,spa
¿Sabes agarrar los palillos chinos?,spa,spa
I know Tom decided to do that.,eng,eng
Él ya no habla más conmigo.,spa,spa
Mi respuesta es una pregunta.,spa,spa
¿Sabes cómo cocinar carne?,spa,spa
Sami didn't like to sleep alone.,eng,spa
Are you going to tell me the truth?,eng,spa
Tom doesn't plan to go anywhere tomorrow.,eng,spa
What I mean is that there are limits that need to be established and respected.,eng,spa
It's not safe in the city centre after midnight on weekends because of all the drunks roaming the streets.,eng,spa
I can put it back in the drawer if you want.,eng,eng
Entiendo que alguien tiene que contarle a Tom lo de la muerte de Mary. ¿Tengo que ser yo?,spa,spa
Tom va a la escuela a pie.,spa,spa
Lo sé con mi corazón.,spa,spa
Lo miraré.,spa,spa
Don't make fun of old people.,eng,spa
Tom oyó por casualidad a Mary hablar acerca de él.,spa,spa
I met Bob and Mary while I was waiting for Kate.,eng,spa
Él se acercó al chico que estaba leyendo un libro.,spa,spa
"It's three hundred miles to London, give or take ten.",eng,eng
"¡Desde hoy solo comida saludable, no más comida chatarra para mí!",spa,spa
No te vayas a los extremos.,spa,spa
Está empeorando cada vez más.,spa,spa
He deposited a lot of money in the bank.,eng,eng
Tom le preguntó a Mary qué quería hacer realmente.,spa,spa
I totally agree with his definition of friendship.,eng,spa
When was the last time you used this pair of skis?,eng,spa
Él despertó echado en una banca en el parque.,spa,spa
Whose turn is it to give the dog a bath?,eng,spa
"They have, among them, ruined our plan.",eng,spa
I always said that Croatia is the country of marvels.,eng,spa
Mi hermana me ha hecho una bonita muñeca.,spa,spa
Everyone knows that Tom doesn't like Mary.,eng,spa
¡No saltéis!,spa,eng
I will carry out my aim at any expense.,eng,spa
Hay quienes viven su afición con más devoción que si fuera una religión.,spa,spa
There's a dictionary on top of the desk.,eng,eng
I'm sorry that you had to get dragged into this.,eng,spa
¿No lo sabías?,spa,spa
We really shouldn't have done that.,eng,eng
"Even the wealth of the wide sea will be diminished, if the cloud that has drawn (its waters) up gives them not back again (in rain)",eng,eng
Yo era inquieto.,spa,spa
Ayer Tomás me escribió más de treinta mensajes.,spa,spa
La lámpara vieja dio una luz tenue.,spa,spa
The boy was speechless when talking to a girl.,eng,spa
Tenemos que pensar sobre esto un poco más.,spa,spa
Yo podría votar por Tom.,spa,spa
That sounds like a bad idea.,eng,spa
Mary says she'll win.,eng,spa
Tom isn't strong enough to lift that.,eng,eng
Tuvo pesadillas.,spa,spa
Can we find anybody that knows this town?,eng,spa
Sé que Marco ha estado enfermo.,spa,spa
Tom is probably eating right now.,eng,spa
Si yo fuera tú.,spa,spa
Tom's lonely.,eng,spa
You're three years older than I am.,eng,spa
Has your father ever been to Africa?,eng,spa
The stage was lit from both sides.,eng,spa
El nuevo método era todo menos ideal.,spa,spa
¿Cuál es la fruta más deliciosa de Japón?,spa,spa
Tom gritó por ayuda.,spa,spa
De vez en cuando él me hace una visita.,spa,spa
Mary is dating two guys at the same time.,eng,spa
A veces el sacrificio es necesario.,spa,spa
Vamos a intentar tratar a los demás con respeto.,spa,spa
El periódico refleja la opinión pública.,spa,spa
No tenía más de cinco dólares.,spa,spa
Tom and Mary told John that they didn't want to study French.,eng,spa
Él caballerosamente lleva nuestras bolsas.,spa,spa
Dale a Tom su vuelto.,spa,spa
Tom and Mary play bridge.,eng,spa
Tom said Mary knew John might not be allowed to do that.,eng,eng
Order now.,eng,spa
Nosotros vivimos cerca de una gran biblioteca.,spa,spa
I'm sure Tom and Mary know what they're doing.,eng,spa
"Tom is an art critic, isn't he?",eng,spa
¡Maldito truhan! ¿De verdad creías que me ibas a engañar?,spa,spa
¿Por qué estás tan asustada? ¿Qué has visto?,spa,spa
How well does Tom speak French?,eng,spa
Mary says she wants to do everything by herself.,eng,spa
"Mary is never going to quit, is she?",eng,spa
Where will you have lunch today?,eng,spa
¿Quién hizo este plan?,spa,spa
Lithium-ion batteries are a class of batteries that uses redox reactions involving lithium.,eng,spa
It's a very strange process.,eng,spa
Tom thinks he's a good driver.,eng,eng
Do everything at your own risk.,eng,eng
No sos más burro por falta de calcio.,spa,spa
"A veces nuestro destino semeja un árbol frutal en invierno. ¿Quién pensaría que esas ramas reverdecerán y florecerán? Mas esperamos que así sea, y sabemos que así será.",spa,eng
Su amiga no ha venido.,spa,spa
Me dijo que tengo una sonrisa bonita.,spa,spa
"All of us, except him, went.",eng,eng
This textbook has a lot of notes.,eng,spa
We all did well.,eng,spa
Sólo tienes dos opciones para seleccionar.,spa,eng
"Whenever I call, he is out.",eng,eng
He already knows what he'll do.,eng,spa
Tom knew there was nothing he could do to help.,eng,spa
Alguien nos traicionó.,spa,spa
Sami was Layla's biographer.,eng,eng
"La estructura de cada ser viviente determina su comunicar, por lo cual, no podemos prejuzgar a un ser viviente que no sea humano, como un ser viviente carente de comunicación o lenguaje. Dado que, nosotros no tenemos acceso a lo que acaece internamente en él.",spa,spa
Tom got exactly what he said he wanted.,eng,spa
Tom miraba con atención.,spa,spa
Nuestro vuelo llegó con una hora de retraso.,spa,spa
Come on. You can do that.,eng,eng
¡Me he olvidado de cerrar el gas!,spa,eng
Tom said he hopes that you won't let Mary drive.,eng,spa
The sacred ritual took place after being postponed twice.,eng,spa
Stop bragging.,eng,spa
Después de haber caminado seis kilómetros se sintió agotado.,spa,spa
"El objetivo de mamá era graduarse de la universidad, pero la meta de mi papá era mamá.",spa,eng
¿Quién no sabe qué es eso?,spa,spa
She leaned back in her chair.,eng,eng
Alguien se ha presentado en mi ausencia.,spa,spa
Tom se recibió en 2013.,spa,spa
Hoy es un buen día para soñar.,spa,spa
El amor no perdona.,spa,spa
"Como me enteré más tarde, el hombre que apareció en mi puerta pidiendo ayuda estaba hablando quechua.",spa,spa
¡Ya estoy aquí!,spa,eng
I think everybody here knows Tom.,eng,spa
Suiza es un país bello.,spa,spa
How were you able to pull this off?,eng,spa
The cost of living has risen.,eng,spa
"Are you hungry? ""I'm not hungry. When I was at school, I ate a sandwich.""",eng,eng
Were you miserable?,eng,spa
What will you live on while you are there?,eng,spa
Tom compró algo de ropa para Mary.,spa,spa
"El chico, que siempre andaba andrajoso, es objeto de comentarios.",spa,spa
Add salt to taste.,eng,spa
"You know I like you, don't you?",eng,spa
I promise I'll do that before the end of the week.,eng,eng
Is this an entrance to another dimension?,eng,spa
They never get old.,eng,spa
"- Quiero decir... Mi vida -dijo Dima- Bueno, hay 3.000.000 BYR en esta maleta.",spa,spa
"Jerusalem is called ""Yerushalayim"" in Hebrew.",eng,spa
Estoy tocando en el parque.,spa,spa
I give to charities.,eng,spa
Sami discovered all his money was gone.,eng,spa
"Last time, I watched an amazing film.",eng,spa
Layla's best chance of being seen is to find high ground.,eng,spa
El problema es que no tenemos mucho dinero.,spa,spa
¿Es esto lo mejor que puedes hacer?,spa,eng
Tom no tuvo el coraje de apretar el gatillo.,spa,spa
He intentado nadar en el río.,spa,spa
El cuerpo humano está compuesto de miles de millones de pequeñas células.,spa,spa
Ella apiló las bandejas en el armario.,spa,spa
Incluso la gente lista se despista algunas veces.,spa,spa
Dick tocó el piano y Lucy cantó.,spa,spa
No me arrepiento de ello.,spa,spa
"Cuando uno empieza a notar agitación en una multitud, lo mejor es alejarse lo más pronto posible.",spa,spa
Tom came back a little after lunch.,eng,spa
"Although the United States is a developed country, it still has some very poor people.",eng,spa
¿Adónde va el tranvía número tres?,spa,spa
Tom dried his eyes.,eng,spa
Tom said he knew that Mary might not be allowed to do that by herself.,eng,spa
Ella no le entiende a usted.,spa,spa
Tom said Mary knew John might not be required to do that.,eng,eng
"Vi las estrellas, fascinan a los ojos, y su belleza es sin igual.",spa,spa
I thought that you said that you were willing to help us find Tom.,eng,spa
No puedo ir aunque quiera.,spa,spa
No hay ninguna diferencia.,spa,spa
Did Mary say she didn't need to do that?,eng,eng
Tom read the contract in secret.,eng,eng
Tom was in the passenger seat.,eng,eng
Veo lo que hiciste ahí.,spa,spa
What are you waiting for? Let's go.,eng,spa
Este libro de texto está escrito en inglés sencillo.,spa,spa
Quiero tomarme un trago.,spa,spa
"Como mi grupo sanguíneo es AB y mi factor RH positivo, soy recibidor universal, pero solo puedo donar mi sangre a personas que también sean AB+.",spa,spa
Tom turned on lights when he entered the room.,eng,spa
"It was a dreadful thing for you to lose your temper like that, Anne.",eng,spa
Tom wasn't about to leave Mary alone with John.,eng,spa
He committed his worst crime on me.,eng,spa
Even in rain and snow I enjoy mountain-climbing.,eng,spa
How likely is it that two people have the same birthday?,eng,spa
They make me laugh.,eng,spa
Ellos siempre tienen problemas con su procesador de textos.,spa,spa
Las excursiones a las islas no son baratas.,spa,spa
He's updating his website.,eng,spa
"Tom se puede acordar de los acordes de la canción, pero no de toda la letra.",spa,spa
"Un panel solar funciona mejor en un día poco nublado, sobre todo si no está del todo bien orientado al Sol.",spa,spa
Hadn't we better be going soon?,eng,spa
No hay mal tiempo. Sólo hay mala ropa.,spa,spa
"Don't use ""discover"" when you mean ""invent"".",eng,spa
No es tan estúpido como para no poder discernir lo correcto de lo incorrecto,spa,eng
Aquí falta una servilleta.,spa,spa
Tom said Mary probably won't eat lunch with us.,eng,spa
Mary told me she was from Boston.,eng,spa
That isn't my fault.,eng,eng
I don't know your habits.,eng,spa
She forgot her glasses.,eng,spa
El señor Jones sabe de finanzas más que cualquiera en esta compañía.,spa,spa
It may not be necessary for us to go to that meeting.,eng,spa
He suffered from health problems.,eng,spa
¿A quién Tom va a escuchar?,spa,eng
El viento está soplando.,spa,spa
Those flowers are very beautiful!,eng,eng
"These shoes are big enough for you, aren't they?",eng,spa
Speak up if you notice other viewers behaving in a way that disturbs wildlife.,eng,spa
It's not as easy as Tom and Mary think.,eng,eng
Do you like the colors?,eng,spa
El hombre que está sentado ahí es un cantante famoso.,spa,spa
Mis padres lo saben.,spa,spa
Los zapatos estaban hechos de un material suave que parecía cuero.,spa,spa
Creo que son una pareja perfecta.,spa,spa
¿Lo has visto últimamente?,spa,spa
They gave me an offer that I couldn't refuse.,eng,spa
Todo el mundo está leyendo.,spa,spa
You should be careful about your health.,eng,spa
Hay un modo mejor.,spa,eng
The temperature is lower than usual.,eng,spa
Devolvió el dinero.,spa,spa
Miro la tele todas las noches.,spa,spa
Tom walks quickly.,eng,spa
Are you sure that's what it was?,eng,spa
Juca calentó su almuerzo en el microondas.,spa,spa
He published two books in Finnish.,eng,spa
¿Qué compraste?,spa,spa
"En este cajero automático además de sacar dinero, también se puede ingresar.",spa,eng
Tyler nació y creció en la misma parte de Virginia que William Henry Harrison.,spa,spa
You have a decision to make.,eng,spa
Estoy demasiado exhausto como para avanzar más.,spa,spa
¿Por qué oraciones?... se podría preguntar. Porque las oraciones son más interesantes.,spa,spa
I may still do that.,eng,eng
¿Están tus niños todavía en la cama?,spa,spa
El año que viene tendré tres veces tu edad.,spa,spa
Puedes hacerlo como quieras.,spa,spa
Ayer oí una bella canción.,spa,spa
How do you stand this heat?,eng,eng
I already know what the theme of the radio programme will be.,eng,spa
¿Quién cuidará al bebé?,spa,spa
Ella pensó que ojalá ese lindo perro fuera suyo.,spa,spa
Teníamos la esperanza de que la lluvia se detendría antes del mediodía.,spa,spa
Discussions were held debating the merits of appointing a provisional government to serve until formal elections could take place.,eng,spa
These cookies are absolutely delicious.,eng,spa
Tom and Mary told me that they're unbiased.,eng,spa
Tienen que haberlo sabido desde el principio.,spa,spa
Deja el pasado atrás y preocúpate por el presente.,spa,spa
The ship discharged its cargo in Panama.,eng,spa
I shouldn't have.,eng,spa
"El aprendiz del mago se giró mientras recitaba un hechizo, dispuesto a atacar a su maestro.",spa,spa
Tom is now on the phone.,eng,spa
El orgullo que se alimenta con la vanidad acaba en el desprecio.,spa,spa
There is no cure for the disease.,eng,spa
"Su padre no vendrá, él está muy ocupado.",spa,spa
I think that you shouldn't have done that by yourselves.,eng,spa
Necesito sentarme.,spa,spa
Toca piano y guitarra.,spa,spa
The police are responsible for the maintenance of law and order.,eng,eng
Comparto una casa con dos de mis amigos.,spa,spa
Tratadla con respeto.,spa,spa
Tom told me Mary laughed at his jokes.,eng,spa
Ken me venció en ajedrez.,spa,spa
Las cosas se están poniendo muy peligrosas por aquí.,spa,spa
Bern is the capital of Switzerland.,eng,spa
She felt sick and sank to the ground.,eng,spa
"Hablando de pasatiempos, me gusta mucho el béisbol.",spa,spa
"Te pido que me digas dónde vives. ""Con gusto.""",spa,eng
You went to bed.,eng,spa
That is not what he is going to talk about.,eng,eng
Tom must have been thrilled.,eng,spa
Él finalmente decidió contarle a su madre las noticias que su padre le había compartido.,spa,spa
El cauce del río va lleno.,spa,spa
"Las babosas son como los caracoles, pero sin concha.",spa,spa
Tom estaba perdido.,spa,spa
This sink is made of stainless steel.,eng,spa
Tom and Mary have enough money to buy whatever they want.,eng,eng
The soldier refused the fight.,eng,eng
Ella estaba en la escena del crimen.,spa,spa
Le robaron la cartera a mi padre en el autobús.,spa,spa
"Si yo tuviera alas, volaría hasta ti.",spa,spa
They swim very quickly.,eng,spa
I'd like to report a crime.,eng,spa
"No me opongo a que vayas a trabajar fuera de casa, pero ¿quién se ocupará de los niños?",spa,spa
My brother is big enough to travel alone.,eng,spa
Vivir es luchar.,spa,eng
Los platos que rompiste no eran caros.,spa,spa
Me debo tomar mi medicina cada seis horas.,spa,spa
It's obviously broken.,eng,spa
I'm meeting her this evening.,eng,spa
"Ahora bien, hay que aclarar este problema.",spa,spa
Usted hacía como si no fuera nada.,spa,spa
That's not a bear anymore. That's bear goo.,eng,spa
I already saw this.,eng,spa
Tom took over his father's store.,eng,spa
Los negros se tenían que sentar en la parte trasera del autobús o estar de pie si ésta estaba llena.,spa,spa
Our country's climate is temperate.,eng,spa
I should stay away from here.,eng,spa
"The day pulls to a close is a barbarism, possibly entirely opaque if you fail to recognize it as a translation of ""The day draws to a close.""",eng,eng
La niñita es zurda.,spa,spa
"Hoy, tu rostro está pálido y sereno como la luz de la luna.",spa,spa
¿Quién ha hecho esto?,spa,spa
"The job is interesting, but not always easy.",eng,spa
Einstein's theory of relativity is Greek to me.,eng,spa
Tom wouldn't let Mary drive his car.,eng,spa
¿De quién es este cuaderno?,spa,spa
No es tan difícil como tú crees.,spa,spa
He paid off his credit card debt.,eng,eng
El equipo de reclutamiento buscó empleados prometedores.,spa,spa
Llevas pendientes caros.,spa,spa
¿Qué haríais en mi lugar?,spa,eng
Puede sentarse donde quiera.,spa,spa
Estoy comiendo queso.,spa,spa
What are the differences between African and Asian elephants?,eng,spa
¿Quieres descansar?,spa,eng
The book costs fifteen dollars.,eng,spa
Perdió a dos hijos en la guerra.,spa,spa
¿Usted habla turco?,spa,spa
Tom y María dijeron que querían que los dejaran solos.,spa,spa
Estas oraciones son raras.,spa,spa
I can't leave it there.,eng,spa
¿Vienes a buscarme?,spa,spa
Un día emprendió un largo paseo al rededor de la ciudad.,spa,spa
I'll be there as soon as I can.,eng,spa
I need an excuse.,eng,spa
Estoy agradecido con los veteranos.,spa,spa
Estará allí.,spa,spa
She threw her hands up in horror when she saw what he had done.,eng,spa
God damn it!,eng,eng
Let's do it right away.,eng,spa
No ser alto no es una desventaja.,spa,spa
I apologized.,eng,spa
Es más seguro diversificar las fuentes de energía.,spa,spa
Tom called Mary to tell her that he wanted her to help John.,eng,spa
Let's go to Boston with Tom.,eng,spa
Are you having problems losing weight?,eng,eng
I don't want to hear about all your old girlfriends.,eng,spa
Asegúrese de que todas las cajas están bien selladas antes de la entrega.,spa,spa
"No hay dudas que las traducciones de las oraciones al idioma alemán no sólo son deseables, sino también necesarias. Las recomendaciones comprensivas de los hablantes nativos alemanes nos animan a corregir el texto original en nuestra lengua que no es siempre sin tacha.",spa,spa
Tom has been accused of being a spy.,eng,spa
Mi tío dirige una compañía.,spa,spa
Where can I reach you?,eng,spa
We'll know soon enough.,eng,spa
Ella se ha vuelto más bella.,spa,spa
¿Tienes algún billete de un dólar?,spa,eng
Sami had no clue how his keys got there.,eng,spa
El trayecto en avión fue agobiante.,spa,spa
You lucky devil.,eng,spa
Please put the milk back in the refrigerator.,eng,eng
She pretended she was still asleep.,eng,spa
Tom ayudó a Mary a volver a comenzar.,spa,spa
Sami doesn't have time right now.,eng,spa
We have two deliveries every day.,eng,spa
¿Dónde hay un espejo?,spa,spa
How big is your room?,eng,spa
It's impossible to deny the obvious.,eng,spa
He was injured badly in the accident.,eng,eng
Tom got jealous.,eng,spa
Why did you choose me?,eng,spa
Tom should talk to his lawyer.,eng,eng
No lo podría hacer sin tu ayuda.,spa,spa
Eso es todo.,spa,spa
I haven't studied that much!,eng,eng
"In Wales, we have a saying.",eng,spa
La alubiada asturiana es la mejor.,spa,eng
"On my mother's side of the family, I have three male cousins.",eng,spa
Corté las cebollas y las puse en una cacerola con mantequilla y aceite.,spa,spa
Ha llegado la hora.,spa,spa
You told her that you had finished the work three days ago.,eng,spa
El diminutivo de Margaret es Meg.,spa,spa
"En cuanto a mí, no estoy contento con el resultado de la prueba del otro día.",spa,spa
Esto no es lo que parece.,spa,spa
"Dejo de vivir, pero he vivido.",spa,spa
Ayer le robaron el bolso.,spa,spa
"¿Yo? ""¡Sí, tú!""",spa,eng
He could get hurt if he does that.,eng,eng
Tom was screaming and crying.,eng,spa
She asked him to come into her house.,eng,spa
A la niña no le gustan los zapatos rojos.,spa,spa
Me alegro de que estés aquí.,spa,spa
"A buen entendedor, pocas palabras bastan.",spa,spa
He drained his glass in one gulp.,eng,spa
No tenemos idea de dónde está él.,spa,spa
¡Extraño tanto a mi novio!,spa,spa
I can't believe I'm not getting fired.,eng,spa
"Most utensils, such as can openers and scissors, are made for right-handers.",eng,spa
Tuvimos que pedir ayuda a gritos.,spa,spa
"Even if it was somebody else who made her happy, as long as she is happy, that's fine.",eng,spa
"Tom is very sharp, isn't he?",eng,spa
Man should smell like a man.,eng,spa
Tom and Mary hoped they'd be able to win.,eng,spa
Have you seen one?,eng,spa
¿Qué tal si añadimos un toque de pimienta?,spa,spa
Where did Tom buy this tennis racket?,eng,eng
"Este es un hombre, esa es una mujer.",spa,eng
It's hard to do that.,eng,eng
He mostly kept to himself.,eng,spa
I'm a little curious about that.,eng,eng
¿Alguna vez te has roto un hueso?,spa,spa
¡Eres un profesor maravilloso!,spa,spa
Puedes quedarte.,spa,spa
Él no habló en absoluto.,spa,spa
Tengo que ir al dentista.,spa,spa
Tom and Mary respect their parents.,eng,spa
La risa es la mejor medicina.,spa,spa
Los ojos de Tomás están abiertos.,spa,spa
They're not as old as they look.,eng,eng
El sábado fuimos al cine y después al restaurante.,spa,spa
The eagle had to be fed by hand.,eng,spa
Esa película es apropiada para gente de todas las edades.,spa,spa
There is a good explanation.,eng,spa
¿Se os ha olvidado comprar huevos?,spa,spa
De repente él cerró la puerta.,spa,spa
I doubt if I'll get a chance to do that.,eng,eng
Sami was a sibling of Layla's.,eng,spa
We were in the Rio de Janeiro botanical gardens.,eng,spa
The quick brown fox jumps over a lazy dog.,eng,spa
It is necessary that we provide for the future.,eng,spa
Such measures were not necessary.,eng,spa
Grandfather is napping on the sofa.,eng,spa
¿Qué es la vida sin el brillo del amor?,spa,eng
Tom said that he didn't want to go skiing with Mary.,eng,spa
"You know the trouble with you, Tom, you're just stupid.",eng,spa
Tu software está actualizado.,spa,spa
Tómate una taza de leche. Te hará bien.,spa,spa
Mary could quit if she wanted to.,eng,spa
You're supposed to be helping Tom now.,eng,spa
Tom se sentó al lado de alguien a quien no conocía.,spa,spa
They delayed buying a new car.,eng,spa
His letter makes me uneasy.,eng,spa
He estado en la iglesia.,spa,spa
No me he olvidado de usted.,spa,spa
Mary let me drive her car.,eng,spa
El atleta consiguió un tiempo asombroso.,spa,spa
Sami was screaming and kicking his father off of him.,eng,spa
Las medias tobilleras son las que te llegan solamente hasta los tobillos.,spa,spa
Yo pensaba que Tom lo habría dicho.,spa,spa
Tom wasn't quite finished yet.,eng,eng
It's too large.,eng,spa
Everyone saw what happened.,eng,spa
Don't take it so hard.,eng,spa
I didn't think Tom was interested in doing that.,eng,eng
Los dos asistimos al mismo curso de lectura musical de la facultad de artes de la universidad.,spa,spa
My wife has cooked a delicious meal.,eng,spa
Tom works hard at his job.,eng,spa
I haven't even told Tom.,eng,spa
Tom thought he had come up with the perfect plan.,eng,spa
I guess we have no choice.,eng,spa
It's not possible to legislate against stupidity.,eng,spa
"Según los investigadores del Instituto Carsey de la Universidad de New Hampshire, 15.7 millones de niños vivían en la pobreza en Estados Unidos en el 2010.",spa,eng
Cada nivel tiene usos distintos.,spa,spa
Lions are animals.,eng,spa
I couldn't possibly eat another bite.,eng,spa
I'm going by myself.,eng,spa
La cara de esa muchacha es increíblemente fea.,spa,spa
Look! There's a cockroach besides the fridge! Do something quick!,eng,eng
Tom did that without me.,eng,spa
Tom was the manager before me.,eng,spa
"Estoy muy ocupado, así que probablemente no pueda venir mañana.",spa,spa
¿Qué pasó? ¡Tu abrigo está manchado de sangre!,spa,eng
"No me gusta este, mostrame otro.",spa,spa
We want to move to Boston.,eng,spa
"Tom was lonely, but Mary wasn't.",eng,eng
"I want to know whether Tom and Mary need to do that, too.",eng,spa
El corazón me saltaba del susto.,spa,spa
This one is cheaper than that one over there.,eng,spa
Te comportas como un niño y me aburres con tus preguntas.,spa,spa
Tom intentó ocultar su nerviosismo.,spa,spa
Tom asked Mary to kill John.,eng,spa
¿Ellos olvidaron que voy a visitarlos hoy?,spa,spa
Mary wondered why Tom wouldn't help her.,eng,eng
Él sintió a su corazón latir rápido.,spa,spa
"It's on the coast about 13 kilometers to the north of its more famous neighbor, Dover.",eng,eng
Soy un hombre de negocios.,spa,spa
¿Sería posible hacer una pausa para comer? Tengo un hambre de lobo.,spa,spa
Ayer fue feriado.,spa,spa
I'm sorry that I couldn't help you.,eng,spa
Tom handed me an envelope.,eng,spa
Voy a ser tío.,spa,spa
I wasn't the one who convinced Tom to do that.,eng,eng
They ate cheese and crackers.,eng,spa
Mary didn't seem surprised when Tom told her he wanted to do that.,eng,eng
Tom and Mary have scars all over their bodies.,eng,spa
Espero que no te hayamos hecho esperar.,spa,eng
Los chilenos son americanos.,spa,spa
I suspect that Tom will eventually want to do that.,eng,eng
Sami had a friend who was a girl.,eng,spa
I only entrusted the secret to you.,eng,spa
We need to create more jobs.,eng,spa
"Ahora que se han acabado las vacaciones, María se ha puesto a régimen.",spa,spa
Sami is gonna be with Layla.,eng,spa
I ventured off the beaten path.,eng,spa
Soy muy alérgico a los cacahuates.,spa,spa
I left Australia three years ago.,eng,spa
"En sus marcas, listos, ¡fuera!",spa,spa
Un coche de la gendarmería se está acercando.,spa,spa
I was the only one who didn't know Tom had been in prison.,eng,spa
La esposa de Tom es canadiense.,spa,spa
Él se subió con una escopeta en las manos.,spa,spa
"Cuando yo era niña, pasaba horas sola leyendo en mi pieza.",spa,spa
Tickets go on sale next Monday.,eng,spa
